Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000255,8.276961856061595,LMSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000256,8.231653204383681,COV318,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000257,8.863907485654842,CORL279,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000258,8.446628436899555,DU4475,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000259,7.170125361839952,KELLY,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000260,7.567880042052731,SKNAS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000261,7.591260524621525,RERFLCAI,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000262,8.276915343768826,UOK101,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000263,8.05604154893143,KASUMI1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000264,8.071676873751858,CALU6,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000265,9.02519494298295,KP4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000266,8.657961489180286,SNU213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000267,7.982765462583646,HDLM2,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000268,6.961507574683088,SNU245,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000269,8.173327349650988,AM38,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000270,7.784896535208317,HPAC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000271,6.521050736900963,SUDHL10,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000272,6.991181681408527,SLR24,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000273,7.894090170601479,SF539,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000274,8.191256661418869,HS852T,Melanoma,Skin,Melanoma
ACH-000275,8.084861524764678,HS834T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000276,8.911871308431245,HCC38,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000277,9.648087894179945,HCC1419,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000278,7.726354416891885,COV362,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000279,8.521992956401672,EWS502,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000280,7.1806053954227504,SNU840,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000281,7.278263591814544,KP2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000282,8.064527219978498,NCIH1755,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000283,8.307018610417252,A1207,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000284,8.284893486694262,HS840T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000285,6.671576448130652,TOLEDO,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000286,7.801158656093698,SNU1033,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000287,7.120497098444245,NUDUL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000288,8.03000494450908,BT549,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000289,7.810571634741147,SNU466,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000290,7.677155841119588,NCIH209,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000291,7.986240259339522,OV90,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000292,8.584173311056947,NCIH841,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000293,8.53126448050023,KLE,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000294,7.236492618381302,NB4,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000295,7.621172752683435,EM2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000296,8.418232121529552,OUMS23,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000297,8.405439334014634,NCIH889,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000298,7.88959522220401,NCIH2029,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000299,7.687970486596125,HNT34,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000300,7.904905524878202,SLR25,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000301,7.610951000277188,LAMA84,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000302,8.096820553015824,SNU1077,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000303,7.930559946119635,SNU5,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000304,7.0516983679862335,WM115,Melanoma,Skin,Melanoma
ACH-000305,7.27435485560099,ECGI10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000306,8.023033518665532,HS688AT,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000307,7.163498732282879,PK1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000308,7.081829590112749,EFO21,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000310,7.214610544908592,IMR32,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000311,7.1136379965815895,NCIH2122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000312,7.467850053946118,SKNBE2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000313,7.807805693828461,KMRC3,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000314,8.64244887593282,HCC2108,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000315,7.110405006739277,KARPAS422,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000316,8.493335104775527,SNU886,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000317,7.995032192477536,TUHR14TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000318,7.218103050243552,TE10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000319,8.848841988122151,MPP89,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000320,7.94345253855882,PSN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000321,7.93763864556064,MOLM6,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000322,8.033147651781697,HT144,Melanoma,Skin,Melanoma
ACH-000323,8.45733983453304,42MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000324,8.143536276961784,JHOC5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000325,7.981110570240497,SNU620,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000326,8.117383366931483,JURLMK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000327,6.157447996274298,NCIH1395,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000328,8.29700794927485,LN215,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000329,8.124328135002202,CCFSTTG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000330,7.513253856333177,EFM19,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000331,8.179909090014934,ISTMES2,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000332,8.097716129743754,YAPC,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000333,8.372908579668582,JHOM2B,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000334,7.891054578350589,DB,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000335,6.9656688644419456,MSTO211H,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000336,8.471715853116597,OCIAML3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000337,7.600284622898086,NCIH3122,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000338,6.607182337438809,SR786,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000339,7.508824768797186,HCC461,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000340,8.29980329351456,HS870T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000341,7.3474884972117955,SKNFI,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000342,8.227567812668388,CL14,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000343,8.560944178060094,NCIH522,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000344,7.472812666192388,SNU668,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000345,7.777353957634332,KPNRTBM1,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000346,8.027629591733156,JVM3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000347,7.505890929729957,QGP1,Pancreatic Neuroendocrine Tumor,Pancreas,Pancreatic Neuroendocrine Tumor
ACH-000348,7.734303170007376,RPMI7951,Melanoma,Skin,Melanoma
ACH-000349,9.593335094711929,HCC1500,Breast Ductal Carcinoma In Situ,Breast,Breast Ductal Carcinoma In Situ
ACH-000350,8.048105374442063,COLO678,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000351,8.39929928969754,MKN1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000352,8.639123609678975,HCC1428,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000353,8.559032867745183,TE15,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000354,8.360408174824016,CAPAN1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000355,6.786857696017215,NCIH82,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000356,8.790706885783912,MKN45,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000357,7.765534746362977,JEKO1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000358,8.197609878379472,NCIH69,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000359,6.991635216476986,MG63,Osteosarcoma,Bone,Osteosarcoma
ACH-000360,7.037711667113753,NCIH508,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000361,7.898510696546727,SKHEP1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000362,7.681800619409603,MOLM13,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000363,7.3045110418099535,SKMM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000364,8.116395949311235,U2OS,Osteosarcoma,Bone,Osteosarcoma
ACH-000365,7.760819726957385,SUDHL4,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000366,8.407947519268033,SKNDZ,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000367,7.763610754622774,NCIH226,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000368,8.341407628590991,SNU1105,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000369,7.911931212309049,MOLM16,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000370,8.044066196856555,SNU626,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000371,7.688250309133178,RL,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000372,7.770102230864502,P12ICHIKAWA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000373,6.809800277545323,SKM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000374,7.892391025913404,HCC1143,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000375,7.481799431665752,G402,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000376,8.138732569720238,SF295,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000377,7.997179480937621,SNU478,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000378,7.656353352457627,NCIH647,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000379,8.64060646862391,NCIH1781,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000380,7.777156666004501,KMS12BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000381,7.236014191900085,T84,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000382,8.317457838605891,CORL24,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000383,7.9822520784227615,OE33,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000384,6.886428210541877,SW780,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000385,8.130622040746625,SKRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000386,7.948542447062604,KG1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000387,8.374648286298724,TF1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000388,7.074676686294496,NUDHL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000389,7.438791852578261,H4,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000390,7.940108007632145,LUDLU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000391,7.974988111991927,MHHES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000392,7.382148453204219,CALU3,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000393,8.250724767229503,HLF,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000394,7.565825625097143,NCIH2081,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000395,8.371994393193653,NCIH520,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000396,7.8094787569536575,J82,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000397,10.007447816391448,TEN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000398,8.149645517684796,RI1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000399,8.27015513876653,NCIH2196,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000400,6.755288195136712,SKCO1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000401,7.865733270851758,COLO800,Melanoma,Skin,Melanoma
ACH-000402,6.92184093707449,BL70,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000403,8.06269378804339,NCIH747,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000404,7.660851625759929,K029AX,Melanoma,Skin,Melanoma
ACH-000405,7.521757459210265,MEC1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000406,8.513609175630807,U937,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000407,7.249255699936582,SNU685,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000408,5.331633567171029,TE5,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000409,8.352175878326326,OVSAHO,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000410,8.298475034735851,SAOS2,Osteosarcoma,Bone,Osteosarcoma
ACH-000411,9.020368851063203,769P,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000412,8.417135207479076,SNU1197,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000413,7.97223312380739,HS739T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000414,8.029121549125405,NCIH1944,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000415,7.053545817727984,BICR6,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000416,8.918714190831889,NCIH838,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000417,8.268284666520996,PANC0813,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000418,7.970105890612181,SW1353,Chondrosarcoma,Bone,Chondrosarcoma
ACH-000419,6.955940451289479,KMS28BM,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000420,8.06544306293743,SNU449,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000421,7.586089166175441,SW837,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000422,8.392188604970658,SNU475,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000423,7.946204489186138,SKMEL3,Melanoma,Skin,Melanoma
ACH-000424,8.418738108396955,TC71,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000425,7.8562387598970815,UACC62,Melanoma,Skin,Melanoma
ACH-000427,6.527477006060396,NCIN87,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000428,8.378728358030806,UO31,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000429,9.34998885503768,A704,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000430,8.644721547217978,TYKNU,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000431,6.983905662627891,NCIH1694,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000432,8.023754353299417,BV173,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000433,8.075318692553354,CAKI1,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000434,8.533212910163911,NCIH1915,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000435,8.622893756121618,EFE184,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000436,7.26322224452176,OCIMY7,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000437,8.699780644404214,SW1088,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000438,8.648105874937102,LU65,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000439,8.077937257049157,ME1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000440,6.769903944980664,CA46,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000441,8.138476604806257,SH4,Melanoma,Skin,Melanoma
ACH-000442,7.962722524561748,RERFLCSQ1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000443,8.3387809438947,OVKATE,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000444,7.089476964489918,LU99,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000445,8.618715852610977,KNS60,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000446,7.930145947908821,KPNSI9S,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000447,8.663344619366084,NCIH2228,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000448,8.229155280071499,NCIH1666,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000449,7.877314812517378,MESSA,Uterine Sarcoma/Mesenchymal,Uterus,Uterine Sarcoma/Mesenchymal
ACH-000450,7.968781973830046,MELHO,Melanoma,Skin,Melanoma
ACH-000451,8.269453995834057,NCIH2085,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000452,9.054631448782969,TE8,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000453,7.422653501149719,MOLP2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000454,8.028348134189308,HCC95,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000455,7.257104933574991,LN428,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000456,9.087595435804074,BCPAP,Poorly Differentiated Thyroid Cancer,Thyroid,Poorly Differentiated Thyroid Cancer
ACH-000457,8.302364751411035,CAL54,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000458,7.454175893185802,CJM,Melanoma,Skin,Melanoma
ACH-000459,8.153095971734592,TUHR10TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000460,7.968148366511464,SNU8,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000461,7.845301861056826,SNU1196,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000462,7.5192430943611805,NALM1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000463,6.43379405875492,NCIH460,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000464,7.94526824414601,CAS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000465,8.761950079161544,SKMEL1,Melanoma,Skin,Melanoma
ACH-000466,9.36896473358419,SNU216,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000467,6.889716891615078,HCC56,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000468,7.983563697223322,PK45H,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000469,7.937520951398323,YH13,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000470,7.088417250147509,SW1463,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000471,8.422022704479756,LI7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000472,7.151676195817078,HSC2,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000473,8.755588641850697,RT112,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000475,8.499367566349127,HUH1,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000476,7.777945670695148,JHH4,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000477,7.423830250840481,MALME3M,Melanoma,Skin,Melanoma
ACH-000478,8.745069223081343,SNU387,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000479,8.69665461868,KNS81,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000480,8.624832002453465,HUH7,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000481,8.166615031182433,NCIH2170,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000482,8.30044408446965,RERFLCKJ,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000483,8.007251575215001,SNU182,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000484,8.661742475232426,VMRCRCW,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000485,7.504540946656629,GSU,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000486,7.55711902192992,KU1919,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000487,8.735048241290857,F36P,Myelodysplastic Syndromes,Myeloid,Myelodysplastic Syndromes
ACH-000488,7.646882672664623,TE11,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma
ACH-000489,7.160073098199723,SW1116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000490,8.308976041868696,SF767,Cervical Squamous Cell Carcinoma,Cervix,Cervical Squamous Cell Carcinoma
ACH-000491,7.781753122164344,NCIH716,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000492,7.282161766581817,MUTZ5,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000493,8.854619083961035,SNU423,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000494,7.452035273546195,OELE,Non-Cancerous,Ovary/Fallopian Tube,Non-Cancerous
ACH-000495,7.868266971645478,TUHR4TKB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000496,7.79305050894593,NCIH1792,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000498,6.740522858354904,KO52,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000499,7.857980995127572,EW8,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000500,8.767191303027806,SNU46,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000501,7.657568554595379,LS123,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000502,8.231653204383681,TCCPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000503,8.368506461507693,BICR16,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000504,8.745136469051378,SNB75,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000505,7.855242251454154,RKN,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000506,7.59260653159917,NCIH146,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000507,7.221297103163338,KE39,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000508,8.42265350114972,CORL88,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000509,8.230260664669787,HUT78,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000510,8.01357391918829,NCIH1299,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000511,9.348993656493745,CALU1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
